SessionId	ItemId	Time
3	214716935	1396437466.94
3	214832672	1396438212.318
6	214701242	1396796300.848
6	214826623	1396796546.976
7	214826835	1396413533.104
7	214826715	1396413545.854
8	214838855	1396766998.728
8	214838855	1396767132.647
9	214576500	1396776384.127
9	214576500	1396776534.654
9	214576500	1396776553.479
11	214821275	1396514675.672
11	214821275	1396514701.674
11	214821371	1396514729.873
11	214821371	1396514772.162
11	214821371	1396514817.355
11	214717089	1396515202.572
11	214563337	1396515229.875
11	214706462	1396515319.267
11	214743335	1396515390.52
11	214826837	1396515439.331
11	214819762	1396515459.433
12	214717867	1396427413.176
12	214717867	1396427592.621
13	214836761	1396788613.638
13	214684513	1396788774.363
13	214836761	1396788798.268
14	214577732	1396339741.362
14	214587013	1396339874.773
14	214577732	1396339956.482
17	214826897	1396776854.289
17	214820441	1396776856.193
16	214684093	1396696081.626
16	214684093	1396696119.897
16	214684093	1396696853.092
18	214577732	1396322772.539
18	214577732	1396322792.156
